year,race,driver,top_speed,avg_top_speed,fastest_lap_time,avg_lap_time
2018,FORMULA 1 GRAN PREMIO DE ESPAÑA EMIRATES 2018,9,334.0,295.92452830188677,82.487,88.94446
2018,FORMULA 1 GRAN PREMIO DE ESPAÑA EMIRATES 2018,35,331.0,292.61224489795916,82.68,91.070015
2018,FORMULA 1 GRAN PREMIO DE ESPAÑA EMIRATES 2018,2,325.0,292.775,82.594,91.401909
2018,FORMULA 1 GRAN PREMIO DE ESPAÑA EMIRATES 2018,31,340.0,298.8333333333333,82.117,91.158675
2018,FORMULA 1 GRAN PREMIO DE ESPAÑA EMIRATES 2018,7,306.0,264.3529411764706,81.531,93.94525
2018,FORMULA 1 GRAN PREMIO DE ESPAÑA EMIRATES 2018,8,,,,
2018,FORMULA 1 GRAN PREMIO DE ESPAÑA EMIRATES 2018,10,,,,
2018,FORMULA 1 GRAN PREMIO DE ESPAÑA EMIRATES 2018,27,,,,
2018,FORMULA 1 GRAND PRIX DE MONACO 2018,3,282.0,265.15384615384613,75.562,79.164192
2018,FORMULA 1 GRAND PRIX DE MONACO 2018,5,289.0,283.5,76.065,79.258243
2018,FORMULA 1 GRAND PRIX DE MONACO 2018,44,288.0,281.78205128205127,76.27,79.382307
2018,FORMULA 1 GRAND PRIX DE MONACO 2018,7,288.0,283.0128205128205,76.392,79.396589
2018,FORMULA 1 GRAND PRIX DE MONACO 2018,77,289.0,281.93589743589746,76.312,79.4055
2018,FORMULA 1 GRAND PRIX DE MONACO 2018,31,289.0,280.4102564102564,77.027,79.467615
2018,FORMULA 1 GRAND PRIX DE MONACO 2018,10,282.0,272.53846153846155,77.099,79.476128
2018,FORMULA 1 GRAND PRIX DE MONACO 2018,27,292.0,280.96153846153845,76.061,79.482641
2018,FORMULA 1 GRAND PRIX DE MONACO 2018,33,293.0,281.79487179487177,74.26,79.488769
2018,FORMULA 1 GRAND PRIX DE MONACO 2018,55,285.0,279.2435897435897,77.491,80.048974
2018,FORMULA 1 GRAND PRIX DE MONACO 2018,9,288.0,280.8076923076923,76.936,80.059884
2018,FORMULA 1 GRAND PRIX DE MONACO 2018,11,290.0,283.88461538461536,77.546,80.067538
2018,FORMULA 1 GRAND PRIX DE MONACO 2018,20,286.0,280.5,77.476,80.123461
2018,FORMULA 1 GRAND PRIX DE MONACO 2018,2,287.0,282.14285714285717,76.864,80.195311
2018,FORMULA 1 GRAND PRIX DE MONACO 2018,8,287.0,280.0,74.822,80.585064
2018,FORMULA 1 GRAND PRIX DE MONACO 2018,35,287.0,279.75324675324674,75.325,80.862701
2018,FORMULA 1 GRAND PRIX DE MONACO 2018,18,287.0,275.0263157894737,74.944,81.677868
2018,FORMULA 1 GRAND PRIX DE MONACO 2018,16,290.0,284.3857142857143,77.71,79.660742
2018,FORMULA 1 GRAND PRIX DE MONACO 2018,28,280.0,275.5492957746479,77.172,79.637271
2018,FORMULA 1 GRAND PRIX DE MONACO 2018,14,281.0,277.7692307692308,77.018,79.68798
2018,FORMULA 1 GRAND PRIX HEINEKEN DU CANADA 2018,5,326.0,303.0571428571429,73.964,78.033257
2018,FORMULA 1 GRAND PRIX HEINEKEN DU CANADA 2018,77,335.0,304.9428571428571,73.992,78.115785
2018,FORMULA 1 GRAND PRIX HEINEKEN DU CANADA 2018,33,330.0,301.72857142857146,73.864,78.117457
2018,FORMULA 1 GRAND PRIX HEINEKEN DU CANADA 2018,3,331.0,304.9130434782609,73.835,78.2849
2018,FORMULA 1 GRAND PRIX HEINEKEN DU CANADA 2018,44,332.0,309.45714285714286,74.183,78.339842
2018,FORMULA 1 GRAND PRIX HEINEKEN DU CANADA 2018,7,328.0,308.3,74.075,78.4245
2018,FORMULA 1 GRAND PRIX HEINEKEN DU CANADA 2018,27,333.0,304.39130434782606,75.488,79.523985
2018,FORMULA 1 GRAND PRIX HEINEKEN DU CANADA 2018,55,333.0,308.2608695652174,75.666,79.579144
2018,FORMULA 1 GRAND PRIX HEINEKEN DU CANADA 2018,31,339.0,312.1449275362319,75.498,79.600956
2018,FORMULA 1 GRAND PRIX HEINEKEN DU CANADA 2018,16,336.0,306.5217391304348,75.351,79.743927
2018,FORMULA 1 GRAND PRIX HEINEKEN DU CANADA 2018,10,334.0,305.71014492753625,75.699,79.818086
2018,FORMULA 1 GRAND PRIX HEINEKEN DU CANADA 2018,8,331.0,305.5072463768116,75.47,79.823608
2018,FORMULA 1 GRAND PRIX HEINEKEN DU CANADA 2018,20,325.0,303.18840579710144,75.401,79.87555
2018,FORMULA 1 GRAND PRIX HEINEKEN DU CANADA 2018,11,349.0,315.6811594202899,75.1,79.847188
2018,FORMULA 1 GRAND PRIX HEINEKEN DU CANADA 2018,9,334.0,307.7352941176471,76.403,80.506705
2018,FORMULA 1 GRAND PRIX HEINEKEN DU CANADA 2018,2,335.0,304.77941176470586,75.765,80.531941
2018,FORMULA 1 GRAND PRIX HEINEKEN DU CANADA 2018,35,334.0,301.0735294117647,75.924,80.86325
2018,FORMULA 1 GRAND PRIX HEINEKEN DU CANADA 2018,14,334.0,294.8292682926829,76.18,82.119675
2018,FORMULA 1 GRAND PRIX HEINEKEN DU CANADA 2018,28,,,,
2018,FORMULA 1 GRAND PRIX HEINEKEN DU CANADA 2018,18,,,,
2018,FORMULA 1 PIRELLI GRAND PRIX DE FRANCE 2018,44,328.0,296.79245283018867,94.509,100.451
2018,FORMULA 1 PIRELLI GRAND PRIX DE FRANCE 2018,33,338.0,304.33962264150944,94.275,100.563784
2018,FORMULA 1 PIRELLI GRAND PRIX DE FRANCE 2018,7,339.0,295.61538461538464,94.398,100.808215
2018,FORMULA 1 PIRELLI GRAND PRIX DE FRANCE 2018,3,334.0,296.811320754717,95.382,101.059588
2018,FORMULA 1 PIRELLI GRAND PRIX DE FRANCE 2018,5,341.0,295.3018867924528,94.485,100.759274
2018,FORMULA 1 PIRELLI GRAND PRIX DE FRANCE 2018,20,334.0,293.3018867924528,95.425,101.913607
2018,FORMULA 1 PIRELLI GRAND PRIX DE FRANCE 2018,77,343.0,300.6923076923077,94.225,100.379666
